;name,id,order,use,new,option,useContinuousMap,event,Category,loadingBG,maxPlayer,expMod,pointMod,league
zp_uprising,60,60,1,,,1,,0,cs_italy_bg,32,1,1,0
zp_aztec,61,61,1,,,1,,0,cs_italy_bg,32,1,1,0
cs_estate,62,62,1,,,1,,2,background01,32,1,1,0
uc_museum,63,63,1,,,1,,0,background01,32,1,1,0
uc_shutdown,64,64,1,,,1,,0,background01,32,1,1,0
uc_aztec,65,65,1,,,1,,0,background01,32,1,1,0
de_tosca,66,66,1,,,1,,1,de_dust2_bg,32,1,1,1
zd_boss,67,67,1,,,0,,0,background01,32,1,1,0
aim_dust,68,68,1,,,1,,0,background01,32,1,1,0
zp_estate,69,69,1,,,1,,0,cs_italy_bg,32,1,1,0
de_storm,70,70,1,,,1,,1,background01,32,1,1,1
zp_storm,71,71,1,,,1,,0,background01,32,1,1,0
zr_italy,72,72,1,,,1,,2,cs_italy_bg,32,1,1,0
hs2_italy2,73,73,1,,,1,,0,cs_italy_bg,32,1,1,0
hs2_office,74,74,1,,,1,,0,cs_italy_bg,32,1,1,0
hs2_assault,75,75,1,,,1,,0,cs_italy_bg,32,1,1,0
hs2_estate,76,76,1,,,1,,0,cs_italy_bg,32,1,1,0
gb_varena,77,77,1,,,1,,0,cs_italy_bg,32,1,1,0
test_football,78,78,1,,,1,,0,cs_italy_bg,32,1,1,0
de_cornerwork2,79,79,1,,,1,,1,background01,32,1,1,0
hs2_cargoship,80,80,1,,,1,,0,cs_italy_bg,32,1,1,0
zc_laboratory,81,81,1,,,1,,0,background01,16,1,1,0
de_headquarter,82,82,1,,,1,,1,background01,32,1,1,0
hs2_studio,83,83,1,,,1,,0,cs_italy_bg,32,1,1,0
de_storage,84,84,1,,,1,,1,background01,32,1,1,0
dm_sa01,85,85,1,,,1,,0,background01,32,1,1,1
hs2_sa01,86,86,1,,,1,,0,background01,32,1,1,0
de_sa02,87,87,1,,,1,,0,background01,32,1,1,0
hs2_sa02,88,88,1,,,1,,0,background01,32,1,1,0
zd_italy,89,89,1,,,1,,0,background01,32,1,1,0
de_sa03,90,90,1,,,1,,0,background01,32,1,1,0
hs2_sa03,91,91,1,,,1,,0,background01,32,1,1,0
dm_dustrush,92,92,1,,,1,,0,background01,32,1,1,0
hs2_phouse,93,93,1,,,1,,0,background01,32,1,1,0
zz_phouse,94,94,1,,,1,,0,background01,32,1,1,0
awp_metro,95,95,1,,weaponrestrict(0;9;5;4;3;*7;10),0,,0,background01,32,1,1,0
ew_lasttrain,96,96,1,,,1,,0,background01,32,1,1,0
zz_prodigy,97,97,1,,,1,,1,background01,32,1,1,0
dm_playground,98,98,1,,,1,,0,background01,32,1,1,0
mad_city,99,99,1,,,1,,0,background01,32,1,1,0
zz_festival,109,109,1,,,1,,0,background01,32,1,1,0
gm_giant,110,110,1,,,0,,0,background01,32,1,1,0
de_vertigo,112,112,1,,,1,,1,background01,32,1,1,0
hm_multi01,113,113,1,,,1,,0,cs_italy_bg,16,1,1,0
mad_city_big,114,114,1,,,1,,0,background01,40,1,1,0
zd_trainyard,115,115,1,1,,1,,0,background01,32,1,1,0
zd_nuke,116,116,1,,,1,,0,background01,32,1,1,0
zd_aztec,117,117,1,1,,1,,0,background01,32,1,1,0
hs_italy2_xmas,118,118,1,1,,1,,0,background01,32,1,1,0
hs2_italy2_xmas,119,119,1,1,,1,,0,background01,32,1,1,0
zs_lostcity,120,120,1,1,,1,,0,background01,32,1,1,0
dm_ae,121,121,1,1,,1,,0,background01,32,1,1,0
zs_nightmare,122,122,1,,,1,,0,background01,32,1,1,0
dm_suzhou,123,123,1,,,1,,0,background01,32,1,1,0
zm_winter_helicopter_v2r_o_3,124,124,1,,,1,,0,background01,32,1,1,0
zm_fubar_towers_remake,125,125,1,,,1,,0,background01,32,1,1,0
zm_nide_jail_boat,126,126,1,,,1,,0,background01,32,1,1,0
de_rats,127,127,1,,,1,,0,background01,32,1,1,0
cs_assault_classic,128,128,1,,,1,,0,background01,32,1,1,0
de_survivor_classic,129,129,1,,,1,,0,background01,32,1,1,0
de_dazzling,130,130,1,,,1,,0,background01,32,1,1,0
ze_shroomforest2_v1,131,131,1,,,1,,0,background01,64,1,1,0
zm_abyss2,132,132,1,,,1,,0,background01,32,1,1,0
ze_sky_athletic_v5_final,133,133,1,,,1,,0,background01,64,1,1,0
zm_minecraft,134,134,1,,,1,,0,background01,32,1,1,0
zs_italy,135,135,1,,,1,,0,background01,32,1,1,0
ze_inboxed_v1_5,136,136,1,,,1,,0,background01,64,1,1,0
zm_csmega_mehanix,137,137,1,,,1,,0,background01,32,1,1,0
ze_otakuroom_v5_6f3,138,138,1,,,1,,0,background01,64,1,1,0
cs_estate_classic,139,139,1,,,1,,0,background01,32,1,1,0
ze_shroomforest_v4_5,140,140,1,,,1,,0,background01,64,1,1,0
ze_shroomforest3_b6_2,141,141,1,,,1,,0,background01,64,1,1,0
ze_pirates_port_royal_v5_4s2,142,142,1,,,1,,0,background01,64,1,1,0
ze_ffvii_cosmo_canyon_v5fix_test01,143,143,1,,,1,,0,background01,64,1,1,0
ze_ffvii_mako_reactor_v5_3,144,144,1,,,1,,0,background01,64,1,1,0
ze_ffxii_westersand_v8zeta1,145,145,1,,,1,,0,background01,64,1,1,0
ze_fapescape_v1_2,146,146,1,,,1,,0,background01,64,1,1,0
ze_FFVII_Mako_Reactor_V6_B08,147,147,1,,,1,,0,background01,64,1,1,0
ze_italy_town_v3,148,148,1,,,1,,0,background01,64,1,1,0
ze_offliner_v2b,149,149,1,,,1,,0,background01,64,1,1,0
frog2,150,150,1,,,1,,0,background01,32,1,1,0
ze_gris_fyk,151,151,1,,,1,,0,background01,64,1,1,0
zbz_zv_dev,152,152,1,,,1,,0,background01,32,1,1,0
frog3,153,153,1,,,1,,0,background01,32,1,1,0
tetrad_tube,154,154,1,,,1,,0,background01,32,1,1,0
ze_FFXII_Paramina_Rift_v1_4,155,155,1,,,1,,0,background01,64,1,1,0
ze_uchiha_legacy_b1,156,156,1,,,1,,0,background01,64,1,1,0
zm_defend_and_kill_b1,157,157,1,,,1,,0,background01,32,1,1,0
ze_predator_ultimate_v3,158,158,1,,,1,,0,background01,64,1,1,0
ze_dreamin_v3_1_css,159,159,1,,,1,,0,background01,64,1,1,0
hs_taj,160,160,1,,,1,,0,background01,32,1,1,0
ze_FFXII_Feywood_b6_1k,161,161,1,,,1,,0,background01,64,1,1,0
ze_FFVII_Cosmo_Training_v2_2_cso2,162,162,1,,,1,,0,background01,64,1,1,0
ze_bhop_facility_final_v2,163,163,1,,,1,,0,background01,64,1,1,0
ze_ffvii_malgo_reactor_css3,164,164,1,,,1,,0,background01,64,1,1,0
ze_minecraft_adventure_v1_2c,165,165,1,,,1,,0,background01,64,1,1,0
ze_grau_s3_2,166,166,1,,,1,,0,background01,64,1,1,0
ze_visualizer_css2,167,167,1,,,1,,0,background01,64,1,1,0
ze_djinn_v1,168,168,1,,,1,,0,background01,64,1,1,0
cs_italy_16,169,169,1,,,1,,0,background01,64,1,1,0
ze_doorhug_and_solo_v6_2,170,170,1,,,1,,0,background01,64,1,1,0
ze_luciddreams_css4,171,171,1,,,1,,0,background01,64,1,1,0
ze_bathroom_v2_5s,172,172,1,,,1,,0,background01,64,1,1,0
frog_tube1,173,173,1,,,1,,0,background01,64,1,1,0
frog_tube2,174,174,1,,,1,,0,background01,64,1,1,0
ze_surf_vortex_v1_9s,175,175,1,,,1,,0,background01,64,1,1,0
ze_s_a_m_v1_3_css,176,176,1,,,1,,0,background01,64,1,1,0
frog_tube3,177,177,1,,,1,,0,background01,64,1,1,0
ze_colorful_v2_4,178,178,1,,,1,,0,background01,64,1,1,0
frog_tube4,179,179,1,,,1,,0,background01,64,1,1,0
frog_tube5,180,180,1,,,1,,0,background01,64,1,1,0
cs_militia_classic,181,181,1,,,1,,0,background01,64,1,1,0
ze_mist_q3,182,182,1,,,1,,0,background01,64,1,1,0
frog_tube7,183,183,1,,,1,,0,background01,64,1,1,0
sh_jinzita,184,184,1,,,1,,0,background01,64,1,1,0
ze_immortal_flame_v1,185,185,1,,,1,,0,background01,64,1,1,0
cf_jingjichang,186,186,1,,,1,,0,background01,64,1,1,0
cs_747_css,187,187,1,,,1,,0,background01,64,1,1,0
zm_dust2_remake_v5,188,188,1,,,1,,0,background01,64,1,1,0
zm_anime_crates,189,189,1,,,1,,0,background01,64,1,1,0
ze_santassination_css2,190,190,1,,,1,,0,background01,64,1,1,0
cf_transportship,191,191,1,,,1,,0,background01,64,1,1,0
zm_zone13,192,192,1,,,1,,0,background01,64,1,1,0
cf_xinnianguangchang,193,193,1,,,1,,0,background01,64,1,1,0
ze_biohazard2_rpd_v4e_004,194,194,1,,,1,,0,background01,64,1,1,0
ze_backrooms_p3,195,195,1,,,1,,0,background01,64,1,1,0
ze_boatescape111_v1_1g,196,196,1,,,1,,0,background01,64,1,1,0
blackwidow_ren,197,197,1,,,1,,0,background01,64,1,1,0
mansion,198,198,1,,,1,,0,background01,64,1,1,0
rooftops,199,199,1,,,1,,0,background01,64,1,1,0
cf_dixiayanjiusuo,200,200,1,,,1,,0,background01,64,1,1,0
cf_shenghuajiudian,201,201,1,,,1,,0,background01,64,1,1,0
cs_dust_winter,202,202,1,,,1,,0,background01,64,1,1,0
cs_paopaokdc,203,203,1,,,1,,0,background01,64,1,1,0
cf_wanjuchenbao,204,204,1,,,1,,0,background01,64,1,1,0
cf_yiyuxiaozhen,205,205,1,,,1,,0,background01,64,1,1,0
cf_xiangzhan,206,206,1,,,1,,0,background01,64,1,1,0
cf_alasijia,207,207,1,,,1,,0,background01,64,1,1,0
tuituile,208,208,1,,,1,,0,background01,64,1,1,0
ze_mirrors_edge_reborn_v4_2,209,209,1,,,1,,0,background01,64,1,1,0
ze_surf_cherry_blossom_v4_1,210,210,1,,,1,,0,background01,64,1,1,0
