;name,id,order,use,rule_id,league,automatch_normal,automatch_rank,option,ui_halftime,ui_team,ui_counttype,ui_missiontext,ui_botmode,ui_pvemode,ui_teamswitch_selection,defaultitem,check_minplayer,check_everyplayerspawn,map_categorize,kad,accuracy,winlose,use_in_channel,roundbase,lua_ref_type,battleboard_type,ui_team_name_ct,ui_team_name_tr,new_mod,update_mod,ui_mod_ex,map_id,ui_mod_set_state
devtest,11,11,0,0,1,1,0,autoteambalance(0)/weaponrestrict(0),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,0,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,,49,0
originalmr,12,12,1,0,1,0,0,autoteambalance(0;*1)/winlimit(5;*9;16)/maxplayers(*10;12;24;32)/weaponrestrict(*0;9;5;4;3)/teamswitch(0;*1),1,1,1,#CSO2_UI_MISSIONTEXT_ORIGINALMR,3,0,0,,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_ORIGINALMR,3/82/12/11/1/2/4/5/7/10/90/79/15/17/18/22/23/24/29/41/55/66/70/79/84/112,1
originalmrdraw,13,13,0,0,0,0,0,,0,1,1,#CSO2_UI_MISSIONTEXT_ORIGINALMRDRAW,3,0,0,,0,1,0,1,1,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_ORIGINALMRDRAW,,0
casualbomb,14,55,0,0,1,1,1,autoteambalance(0;1;*2;3)/observer(*0;1;2)/weaponrestrict(*0;9;5;4;3)/teamswitch(0;*1)/maxplayers(10;16;*24;32),1,1,1,#CSO2_UI_MISSIONTEXT_CASUALBOMB,3,0,1,,0,1,0,1,1,1,n1b1m1c0,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_CASUALBOMB,3/1/2/11/12/15/18/22/23/24/29/41/55/66/70/82/112,1
deathmatch,15,15,1,0,0,1,0,autoteambalance(0)/killlimit(40;*60;80;100;150)/observer(0;*1;2)/weaponrestrict(*0;9;5;4;3;7;10)/maxplayers(10;*16;24;32),0,0,1,#CSO2_UI_MISSIONTEXT_DEATHMATCH,3,0,0,,1,1,0,0,1,1,n1b1m1c0,0,0,2,,,0,0,#CSO2_UI_MOD_RECOMMEND_DEATHMATCH,9/3/44/7/8/1/2/4/5/10/11/12/15/92/90/79/17/18/22/23/24/29/40/41/42/46/55/62/66/70/79/84/112,1
scenario_test,16,16,0,1,0,0,0,autoteambalance(0)/weaponrestrict(0),0,0,1,,0,1,0,,2,1,0,0,0,0,n1b1m1c0,0,0,0,,,0,0,,,0
gz,17,17,1,2,0,0,0,autoteambalance(0)/maxplayers(*64)/weaponrestrict(0),0,1,0,,1,0,0,,3,0,0,0,0,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,100/107,3
gz_intro,18,18,0,2,0,0,0,autoteambalance(0)/weaponrestrict(0),0,0,0,,1,0,0,,3,0,0,0,0,0,n1b1m1c0,0,0,0,,,0,0,,100,3
gz_tour,19,19,0,2,0,0,0,autoteambalance(0)/maxplayers(*64)/weaponrestrict(0),0,0,0,,1,0,0,,3,0,0,0,0,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,100/107,3
gz_pve,20,20,1,2,0,0,0,autoteambalance(0)/maxplayers(*32)/weaponrestrict(0),0,0,0,,1,0,0,,3,0,0,0,0,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,100,3
eventmod01,21,21,1,0,0,0,0,autoteambalance(0;1;*2;4)/killlimit(*100;150;200)/weaponrestrict(*0)/teamswitch(*0)/observer(*1)/maxplayers(10;*16;24;32)/respawntime(1;*3;5;7),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,3,0,0,,0,0,0,0,0,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_WEAPON_SPECIAL,4/7/44/3/5/17/1/2/8/9/10/92/90/79/11/12/15/18/22/23/24/29/40/42/46/62/66/70/112,1
duel,22,22,0,7,0,1,1,autoteambalance(0)/winlimit(5)/observer(0)/maxplayers(4;8;*10;16)/weaponrestrict(0)/teamswitch(*0),0,1,0,#CSO2_UI_MISSIONTEXT_DUEL,1,0,0,,0,1,0,1,1,1,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_DUEL,92/90/79/68,1
gz_ZB,23,23,0,2,0,0,0,autoteambalance(0)/maxplayers(*32)/weaponrestrict(0),0,0,1,,0,0,0,,0,0,0,0,0,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,,,3
heroes,24,24,1,1,0,0,0,autoteambalance(0)/winlimit(1)/maxplayers(4;*8;10;16)/weaponrestrict(0)/observer(0),0,0,1,#CSO2_UI_MISSIONTEXT_HEROES,0,0,0,,2,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,,28,1
eventmod02,25,25,1,0,0,0,0,autoteambalance(0)/killlimit(*10)/teamswitch(*0)/observer(*1)/maxplayers(10;16;24;*32)/weaponrestrict(0),0,0,1,#CSO2_UI_MISSIONTEXT_MONTHLY_MOD,1,0,0,,1,1,0,0,0,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_MONTHLY_MOD,8/42/40/5/90/9/92/79/57/60/54,1
zombiecraft,26,26,0,3,0,0,0,autoteambalance(0)/winlimit(1)/maxplayers(8;*16)/weaponrestrict(0)/observer(*1)/teamswitch(*0),0,0,1,#CSO2_UI_MISSIONTEXT_COMMANDERZ,0,0,0,,1,1,0,0,0,0,n1b1m1c0,0,0,1,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_COMMANDERZ,30/81,1
campaign1,27,27,1,0,1,1,1,autoteambalance(0)/killlimit(60)/weaponrestrict(*0;9;5;4;3;7;10)/teamswitch(0)/observer(*1)/maxplayers(*32),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,3,0,1,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,8,0
campaign2,28,28,1,0,1,1,1,autoteambalance(0)/winlimit(1)/observer(0;*1;2)/weaponrestrict(0)/maxplayers(*32),0,1,1,#CSO2_UI_MISSIONTEXT_GUNTEAMDEATH,3,0,0,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,40,0
campaign3,29,29,1,0,1,1,1,autoteambalance(0)/maxplayers(32)/observer(*0;1;2)/weaponrestrict(*0;9;5;4;3;7)/teamswitch(1)/winlimit(3),1,1,1,#CSO2_UI_MISSIONTEXT_ORIGINAL,3,0,1,1;2;3;4,0,1,1,1,1,1,n1b1m1c1,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,3,0
campaign4,30,30,1,0,1,0,0,autoteambalance(0)/winlimit(3)/maxplayers(32)/weaponrestrict(0)/teamswitch(0;*1),1,1,1,#CSO2_UI_MISSIONTEXT_STEALTH,3,0,0,,0,1,1,1,1,1,n1b1m1c1,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,7,0
campaign5,31,31,1,0,1,0,0,autoteambalance(2)/winlimit(1)/observer(1)/weaponrestrict(0)/maxplayers(1),1,1,1,,0,0,0,,2,0,0,0,0,0,n1b1m1c1,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,45,0
campaign6,32,32,0,0,1,0,0,,1,1,1,,3,0,0,,0,1,1,1,1,1,n1b1m1c1,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,,0
campaign7,33,33,0,0,1,0,0,,1,1,1,,3,0,0,,0,1,1,1,1,1,n1b1m1c1,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,,0
campaign8,34,34,0,0,1,0,0,,1,1,1,,3,0,0,,0,1,1,1,1,1,n1b1m1c1,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,,0
campaign9,35,35,0,0,1,0,0,,1,1,1,,3,0,0,,0,1,1,1,1,1,n1b1m1c1,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,,0
z_scenario,36,36,1,4,0,0,0,autoteambalance(0)/winlimit(1)/maxplayers(4;*8;10;16)/weaponrestrict(0)/observer(*0)/teamswitch(*0)/difficulty(*1;2;3),0,0,1,#CSO2_UI_MISSIONTEXT_Z_SCENARIO,0,1,0,,2,1,0,0,0,0,n1b1m1c0,0,2,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_Z_SCENARIO,115/53/52/16,1
zombie_prop,37,37,1,0,1,1,0,autoteambalance(0)/weaponrestrict(0)/observer(0;*1;2)/maxplayers(10;16;*24;32),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_ZOMBIE_PROP,51/59/4/94/109/87/46/23/19/29/84/112/69/71/58/61/60,1
ghost,38,38,1,0,0,0,0,autoteambalance(0)/weaponrestrict(0)/maxplayers(16;*24;32)/observer(*1),0,0,1,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_GHOST,0,0,#CSO2_UI_MOD_RECOMMEND_GHOST,59/58/51/7/15/5/10/19/22/60/61/69/71/18/62,1
tag,39,39,1,0,0,0,0,autoteambalance(0)/weaponrestrict(0)/observer(0;*1;2)/maxplayers(10;16;*24;32),0,0,1,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_PIG,0,0,#CSO2_UI_MOD_RECOMMEND_TAG,5/15/11/29/24/7/50/2/10/112/18/23/44,1
hide_match,40,40,1,6,0,0,0,autoteambalance(0)/winlimit(*5;9;13;17)/weaponrestrict(0)/observer(*1;3),0,1,1,#CSO2_UI_MISSIONTEXT_HIDE,0,0,0,,0,1,0,0,0,0,n1b1m1c0,1,0,1,#CSO2_TEAM_NAME_ALLY,#CSO2_TEAM_NAME_ENEMY,0,0,#CSO2_UI_MOD_RECOMMEND_HIDE_MATCH,19/46/50/54/4/43/47/48/55/18/23/5/10/12,1
hide_ice,41,41,0,6,0,0,0,autoteambalance(0)/winlimit(5;*9;13)/weaponrestrict(0)/observer(*1;3),0,0,1,#CSO2_UI_MISSIONTEXT_HIDE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,1,#CSO2_TEAM_NAME_TAGGER,#CSO2_TEAM_NAME_PROP,0,0,#CSO2_UI_MOD_RECOMMEND_HIDE_ICE,43/19,1
diy,42,42,1,5,0,0,0,autoteambalance(0;1)/killlimit/weaponrestrict(*0;9;5;4;3;7;10)/teamswitch(*0)/observer(*1)/maxplayers(10;16;*24;32),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,0,0,1,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_DIY,92/90/40/57/95/8/79/42/44/9,1
hide_Item,43,43,0,6,0,0,0,autoteambalance(0)/winlimit(*5;9)/weaponrestrict(0)/observer(*1;3),0,0,1,#CSO2_UI_MISSIONTEXT_HIDE_ITEM,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_TAGGER,#CSO2_TEAM_NAME_PROP,0,0,#CSO2_UI_MOD_RECOMMEND_HIDE_ITEM,62,1
zd_boss1,44,44,1,4,0,0,0,autoteambalance(0;*2)/winlimit(1)/maxplayers(3;5;*8;10)/weaponrestrict(0)/observer(*0)/teamswitch(*0),0,0,1,#CSO2_UI_MISSIONTEXT_Z_SCENARIO,0,1,0,,2,1,0,0,0,0,n1b1m1c0,0,1,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,,67/120/122,0
zd_boss2,45,45,1,4,0,0,0,autoteambalance(0;*2)/winlimit(1)/maxplayers(3;5;*8;10)/weaponrestrict(0)/observer(*0)/teamswitch(*0),0,0,1,#CSO2_UI_MISSIONTEXT_Z_SCENARIO,0,1,0,,2,1,0,0,0,0,n1b1m1c0,0,1,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,,67/120/122,0
zd_boss3,46,46,1,4,0,0,0,autoteambalance(0;*2)/winlimit(1)/maxplayers(3;5;*8;10)/weaponrestrict(0)/observer(*0)/teamswitch(*0),0,0,1,#CSO2_UI_MISSIONTEXT_Z_SCENARIO,0,1,0,,2,1,0,0,0,0,n1b1m1c0,0,1,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,,67/120/122,0
practice,47,47,1,0,1,1,1,autoteambalance(0)/killlimit(*100;150;200;250;300;350)/weaponrestrict(*0)/teamswitch(*0)/observer(*1)/maxplayers(*1;3)/difficulty(*1;2;3),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,0,0,1,,0,0,0,0,0,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_PRACTICE,3/90/8/9/40/92/79/42/57/54,0
zombie_commander,48,48,1,8,0,0,0,autoteambalance(0)/winlimit(1)/maxplayers(10)/weaponrestrict(0)/observer(*1)/teamswitch(*0),0,0,1,#CSO2_UI_MISSIONTEXT_COMMANDERZ,0,0,0,,1,1,0,0,0,0,n1b1m1c0,0,0,1,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_COMMANDERZ,81/30,1
casualoriginal,49,55,0,0,1,1,1,autoteambalance(0;1;*2;3)/observer(*0;1;2)/weaponrestrict(*0;9;5;4;3;7)/teamswitch(0;*1),1,1,1,#CSO2_UI_MISSIONTEXT_ORIGINAL,3,0,1,1;2;3;4,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_CASUALORIGINAL,3/55/95/66/79/82/84/7/41/12/70/1/2/4/5/10/11/15/17/18/22/23/24/29/57/62/112,1
hide2,50,50,1,6,0,0,0,autoteambalance(0)/winlimit(*5;9;13;17)/weaponrestrict(0)/observer(*1;3)/maxplayers(10;16;*24;32),0,0,1,#CSO2_UI_MISSIONTEXT_HIDE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_TAGGER,#CSO2_TEAM_NAME_PROP,0,0,#CSO2_UI_MOD_RECOMMEND_HIDE2,119/83/93/88/91/86/76/73/74/80/75,1
gunball,51,51,1,9,0,0,0,autoteambalance(0)/weaponrestrict(0;3;4;5;7;*9;10)/observer(*1)/maxplayers(4;8;*10;16)/winlimit(5;*9;13;17;21;25),0,1,1,#CSO2_UI_MISSIONTEXT_GOAL,0,0,0,,0,0,0,0,0,0,n1b1m1c0,1,0,1,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_GOAL,77,1
zombie_zeta,53,53,1,10,0,0,0,weaponrestrict(*0;9;5;4;3;7;10)/winlimit(5;*9;*15;*20;*30;*50;*100;*200;*255)/observer(0;*1;2)/maxplayers(10;16;24;32;50;*65),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,3,0,0,,0,1,0,0,0,1,n1b1m1c0,1,0,1,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_ZOMBIE2,9/26/56/87/94/109/97/85/3/95/55/66/79/82/84/7/41/12/70/1/2/4/5/10/11/90/79/15/17/18/22/23/24/29/57/62/112/121/123/129/130/139/150/127/132/134/137/150/153/154/157/165/169/179/180/181/183/184/185/186/187/188/189/191/192/193/200/201/202/203/204/204/205/206/207/208,4
tdm_small,54,54,0,0,0,1,1,autoteambalance(*0;1;2)/killlimit(50)/weaponrestrict(0)/teamswitch(*0)/observer(*1)/maxplayers(6;*10;16)/respawntime(1;*3),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,3,0,1,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_TDM_SMALL,92/40/42/57,1
de_small,55,55,0,0,1,1,1,autoteambalance(0;1;*2;3)/observer(*0;1;2)/weaponrestrict(*0;9;5;4;3;7)/teamswitch(0;*1)/winlimit(3;*5;9)/maxplayers(2;6;*10;16),1,1,1,#CSO2_UI_MISSIONTEXT_ORIGINAL,3,0,1,1;2;3;4,0,1,1,1,1,1,n1b1m1c0,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_DE_SMALL,90/79,1
gunteamdeath_re,56,56,1,0,1,1,1,autoteambalance(0;1;*2)/winlimit(1)/observer(0;*1;2)/weaponrestrict(0),0,1,1,#CSO2_UI_MISSIONTEXT_GUNTEAMDEATH,3,0,0,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_GUNTEAMDEATH_RE,1/7/44/3/4/2/5/8/9/10/11/12/15/17/18/22/92/90/79/23/24/29/40/42/46/55/62/66/70/79/84/112,1
endless_wave,57,57,1,12,0,1,0,autoteambalance(0)/winlimit(1)/maxplayers(4;*8;10;16)/weaponrestrict(0)/observer(*0)/teamswitch(*0),0,0,1,#CSO2_UI_MISSIONTEXT_Z_SCENARIO,0,1,0,,2,1,0,0,0,0,n1b1m1c0,0,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_ENDLESS_WAVE,96/120/122,1
rankmatch_original,58,58,0,0,1,0,1,autoteambalance(0;1;*2;3)/winlimit(9)/observer(0)/weaponrestrict(0)/maxplayers(10)/teamswitch(1),1,1,1,#CSO2_UI_MISSIONTEXT_ORIGINAL,3,0,1,1;2;3;4,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_RANKMATCH_ORIGINAL,3/12/66/79/87/55/82/84/7/41/70/1/2/4/5/10/11/90/79/15/17/18/22/23/24/29/62/112,4
rankmatch_teamdeath,59,59,0,0,1,1,1,autoteambalance(0;1;*2;3)/killlimit(80)/weaponrestrict(0)/teamswitch(1)/observer(1)/maxplayers(12)/respawntime(1),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,3,0,1,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_RANKMATCH_TEAMDEATH,85/79/42/8/92/3/44/7/90/84/4/1/2/5/9/10/11/12/15/17/18/22/23/24/29/40/46/55/62/66/70/112,4
play_ground,60,60,1,14,0,1,0,autoteambalance(0)/killlimit(15;*30;45;60)/observer(*1)/weaponrestrict(*0)/maxplayers(16;*32),0,0,1,#CSO2_UI_MISSIONTEXT_DEATHMATCH,0,0,0,,2,1,0,0,1,1,n1b1m1c0,0,0,2,,,,,#CSO2_UI_MOD_RECOMMEND_PLAY_GROUND,98,1
madcity,61,61,0,13,0,0,0,autoteambalance(0)/weaponrestrict(0)/winlimit(1)/observer(*1)/maxplayers(16;*24;32;48),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,4,1,0,0,0,0,n1b1m1c0,0,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_MADCITY,99/40/100,2
hide_origin,62,62,1,6,0,0,0,autoteambalance(0)/winlimit(*5;9;13;17)/weaponrestrict(0)/observer(*1;3)/maxplayers(10;16;*24;32),0,0,1,#CSO2_UI_MISSIONTEXT_HIDE_ORIGIN,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_TAGGER,#CSO2_TEAM_NAME_PROP,0,0,#CSO2_UI_MOD_RECOMMEND_HIDE_ORIGIN,5/4/19/23/44/10/46/50/54/62,1
teamdeath_mutation,63,63,1,15,1,1,1,autoteambalance(0;1;*2;4)/killlimit(100;150;*200;250;300;400;600;800)/weaponrestrict(*0;9;5;4;3;7;10)/teamswitch(*0)/observer(*1)/maxplayers(10;16;20;*24;32)/respawntime(1;*3;5;7),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,3,0,1,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_TDM_MUTATION,85/8/3/44/7/79/84/4/1/2/5/9/92/90/79/10/11/12/15/17/18/22/23/24/29/40/42/46/55/62/66/70/112,1
