;// 무기  , 아이템,ID의, 수정 ,,, 추가, 삭제, 발생시, 클라이언트,팀에,알려,주세요,적용안,할경우,,크래쉬,To ,클라이언트팀,CSWeaponID ,,,, 정의 코드의, 주석 참고 해, 작업해 주세요.
36,#CSO2_ITEM_NAME_kevlar,#CSO2_ITEM_DESC_KEVLAR,kevlarvest,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
37,#CSO2_ITEM_NAME_kevlarhelmet,#CSO2_ITEM_DESC_KEVLARHELEMT,kevlarvesthelmet,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
38,#CSO2_ITEM_NAME_c4,#CSO2_ITEM_DESC_c4,c4,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
44,#CSO2_ITEM_NAME_striker12,#CSO2_ITEM_DESC_striker12,striker12,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
45,#CSO2_ITEM_NAME_ak47_gold,#CSO2_ITEM_DESC_AK47_gold,ak47,gold,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
46,#CSO2_ITEM_NAME_m4a1_gold,#CSO2_ITEM_DESC_M4A1_gold,m4a1,gold,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
47,#CSO2_ITEM_NAME_scarH,#CSO2_ITEM_DESC_scarH,scarh,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
48,#CSO2_ITEM_NAME_fal,#CSO2_ITEM_DESC_fal,fal,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
49,#CSO2_ITEM_NAME_dr200,#CSO2_ITEM_DESC_dr200,dr200,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
50,#CSO2_ITEM_NAME_waltherpp,#CSO2_ITEM_DESC_waltherpp,waltherpp,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
51,#CSO2_ITEM_NAME_cupidawp,#CSO2_ITEM_DESC_cupidawp,awp,cupid,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
52,#CSO2_ITEM_NAME_m60,#CSO2_ITEM_DESC_m60,m60,default,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
53,#CSO2_ITEM_NAME_mx4,#CSO2_ITEM_DESC_mx4,mx4,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
54,#CSO2_ITEM_NAME_m4a1_tan,#CSO2_ITEM_DESC_M4A1_tan,m4a1,tan,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
55,#CSO2_ITEM_NAME_ak47_old,#CSO2_ITEM_DESC_AK47_old,ak47,old,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
56,#CSO2_ITEM_NAME_RPG7,#CSO2_ITEM_DESC_RPG7,rpg7,default,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
58,#CSO2_ITEM_NAME_RADIO,#CSO2_ITEM_DESC_RADIO,radio,default,item,weapon,equip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
59,#CSO2_ITEM_NAME_ar57,#CSO2_ITEM_DESC_ar57,ar57,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
60,#CSO2_ITEM_NAME_kriss_superv,#CSO2_ITEM_DESC_kriss_superv,krisssuperv,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
61,#CSO2_ITEM_NAME_awp_tan,#CSO2_ITEM_DESC_awp_tan,awp,tan,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
62,#CSO2_ITEM_NAME_scarl,#CSO2_ITEM_DESC_scarl,scarl,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
63,#CSO2_ITEM_NAME_aek971,#CSO2_ITEM_DESC_aek971,aek971,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
64,#CSO2_ITEM_NAME_helucketbag,#CSO2_ITEM_DESC_helucketbag,hegrenade,special,item,weapon,equip,3,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
65,#CSO2_ITEM_NAME_fbfirework,#CSO2_ITEM_DESC_fbfirework,flashbang,special,item,weapon,equip,5,0,1|4|12|14|15|17|22|29|30|49|55|58|68,0,0,0,5,0,0,0,none,none,0,0,,,,0
66,#CSO2_ITEM_NAME_t65,#CSO2_ITEM_DESC_t65,t65,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
67,#CSO2_ITEM_NAME_t86,#CSO2_ITEM_DESC_t86,t86,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
68,#CSO2_ITEM_NAME_HUNTKNIFE,#CSO2_ITEM_DESC_HUNTKNIFE,huntknife,default,item,weapon,knife,2,0,0,1,0,0,5,0,0,0,none,none,0,0,,,,0
69,#CSO2_ITEM_NAME_vaccine,#CSO2_ITEM_DESC_vaccine,vaccine,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
70,#CSO2_ITEM_NAME_acr,#CSO2_ITEM_DESC_acr,acr,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
71,#CSO2_ITEM_NAME_ak12,#CSO2_ITEM_DESC_ak12,ak12,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
72,#CSO2_ITEM_NAME_m870,#CSO2_ITEM_DESC_m870,m870,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
73,#CSO2_ITEM_NAME_pkm,#CSO2_ITEM_DESC_pkm,pkm,default,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,0
74,#CSO2_ITEM_NAME_k5,#CSO2_ITEM_DESC_k5,k5,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
75,#CSO2_ITEM_NAME_K1,#CSO2_ITEM_DESC_K1,k1,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
76,#CSO2_ITEM_NAME_survivorknife,#CSO2_ITEM_DESC_survivorknife,survivorknife,default,item,weapon,knife,2,0,0,1,0,0,5,0,0,0,none,none,0,0,,,,0
77,#CSO2_ITEM_NAME_dbarrel,#CSO2_ITEM_DESC_dbarrel,dbarrel,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
78,#CSO2_ITEM_NAME_g3ka4,#CSO2_ITEM_DESC_g3ka4,g3ka4,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
79,#CSO2_ITEM_NAME_huntknife_gold,#CSO2_ITEM_DESC_huntknife_gold,huntknife,gold,item,weapon,knife,2,0,0,1,0,0,5,0,0,0,none,none,0,0,,,,0
80,#CSO2_ITEM_NAME_wrench,#CSO2_ITEM_DESC_wrench,wrench,default,item,weapon,knife,2,0,0,1,0,0,5,0,0,0,none,none,0,0,,,,0
81,#CSO2_ITEM_NAME_milagrenade,#CSO2_ITEM_DESC_MILAGRENADE,hegrenade,milagrenade,item,weapon,equip,3,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
82,#CSO2_ITEM_NAME_g36k,#CSO2_ITEM_DESC_g36k,g36k,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
83,#CSO2_ITEM_NAME_wrench_black1,#CSO2_ITEM_DESC_wrench_black1,wrenchblack1,default,item,weapon,knife,2,0,0,1,0,0,5,0,0,0,none,none,0,0,,,,0
84,#CSO2_ITEM_NAME_wrench_gold1,#CSO2_ITEM_DESC_wrench_gold1,wrenchgold1,default,item,weapon,knife,2,0,0,1,0,0,5,0,0,0,none,none,0,0,,,,0
85,#CSO2_ITEM_NAME_mg3,#CSO2_ITEM_DESC_mg3,mg3,default,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
86,#CSO2_ITEM_NAME_trg42,#CSO2_ITEM_DESC_trg42,trg42,default,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
87,#CSO2_ITEM_NAME_pkmfire,#CSO2_ITEM_DESC_pkmfire,pkmfire,default,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,0
88,#CSO2_ITEM_NAME_DEFAULTKNIFECAMO1,#CSO2_ITEM_DESC_DEFAULTKNIFECAMO1,defaultknifecamo1,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
89,#CSO2_ITEM_NAME_TASERKNIFE,#CSO2_ITEM_DESC_TASERKNIFE,taserknife,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
90,#CSO2_ITEM_NAME_mk2grenade,#CSO2_ITEM_DESC_mk2grenade,hegrenade,mk2grenade,item,weapon,equip,3,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
91,#CSO2_ITEM_NAME_k2c,#CSO2_ITEM_DESC_k2c,k2c,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
92,#CSO2_ITEM_NAME_mk23,#CSO2_ITEM_DESC_mk23,mk23,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
93,#CSO2_ITEM_NAME_m4a1flash,#CSO2_ITEM_DESC_m4a1flash,m4a1flash,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,EXPUPWITHTEAM(30),SS_GRADE_WEAPON_GROUP,100,0,,,"CRITICAL(10,1.5) | EXPUP(100) | WEAPONDROPOFF",0
94,#CSO2_ITEM_NAME_ak47flash,#CSO2_ITEM_DESC_ak47flash,ak47flash,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,EXPUPWITHTEAM(30),SS_GRADE_WEAPON_GROUP,100,0,,,"CRITICAL(10,1.5) | EXPUP(100) | WEAPONDROPOFF",0
95,#CSO2_ITEM_NAME_qsz92,#CSO2_ITEM_DESC_qsz92,qsz92,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
96,#CSO2_ITEM_NAME_qbs09,#CSO2_ITEM_DESC_qbs09,qbs09,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
97,#CSO2_ITEM_NAME_M1903A3,#CSO2_ITEM_DESC_M1903A3,m1903a3,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
98,#CSO2_ITEM_NAME_M1GARAND,#CSO2_ITEM_DESC_M1GARAND,m1garand,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
99,#CSO2_ITEM_NAME_MSBS,#CSO2_ITEM_DESC_MSBS,msbs,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
100,#CSO2_ITEM_NAME_csls06,#CSO2_ITEM_DESC_csls06,csls06,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
101,#CSO2_ITEM_NAME_m3boom,#CSO2_ITEM_DESC_m3boom,m3boom,default,item,weapon,shotgun,0,0,50,0,0,0,5,0,0,0,none,none,0,0,,,,0
102,#CSO2_ITEM_NAME_m14ebr,#CSO2_ITEM_DESC_m14ebr,m14ebr,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
103,#CSO2_ITEM_NAME_thunder,#CSO2_ITEM_DESC_thunder,thunder,default,item,weapon,pistol,1,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,0
104,#CSO2_ITEM_NAME_m99,#CSO2_ITEM_DESC_m99,m99,default,item,weapon,snip,0,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
105,#CSO2_ITEM_NAME_mp7phoenix,#CSO2_ITEM_DESC_mp7phoenix,mp7phoenix,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,EXPUPWITHTEAM(30),SS_GRADE_WEAPON_GROUP,100,0,,,EXPUP(100) | WEAPONDROPOFF | ZZ_PHOENIX,0
106,#CSO2_ITEM_NAME_deserteaglephoenix,#CSO2_ITEM_DESC_deserteaglephoenix,deaglephoenix,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,EXPUPWITHTEAM(30),SS_GRADE_WEAPON_GROUP,100,0,,,EXPUP(100) | WEAPONDROPOFF | ZZ_PHOENIX,0
107,#CSO2_ITEM_NAME_deserteaglephoenix,#CSO2_ITEM_DESC_deserteaglephoenix,deaglephoenix,special,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,EXPUPWITHTEAM(30),SS_GRADE_WEAPON_GROUP,100,0,,,EXPUP(100) | WEAPONDROPOFF | ZZ_PHOENIX,0
108,#CSO2_ITEM_NAME_mk18,#CSO2_ITEM_DESC_mk18,mk18,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
109,#CSO2_ITEM_NAME_akm,#CSO2_ITEM_DESC_akm,akm,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
110,#CSO2_ITEM_NAME_awm,#CSO2_ITEM_DESC_awm,awm,default,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
111,#CSO2_ITEM_NAME_m1911,#CSO2_ITEM_DESC_m1911,m1911,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
112,#CSO2_ITEM_NAME_af2011a0,#CSO2_ITEM_DESC_af2011a0,af2011a0,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
113,#CSO2_ITEM_NAME_m16a4,#CSO2_ITEM_DESC_m16a4,m16a4,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
114,#CSO2_ITEM_NAME_TOYHAMMER,#CSO2_ITEM_DESC_TOYHAMMER,toyhammer,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,HIDE_REDUCE_DMG(50),0
115,#CSO2_ITEM_NAME_M9BAYONET,#CSO2_ITEM_DESC_M9BAYONET,m9bayonet,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
116,#CSO2_ITEM_NAME_lr300,#CSO2_ITEM_DESC_lr300,lr300,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
117,#CSO2_ITEM_NAME_tac15,#CSO2_ITEM_DESC_tac15,tac15,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
118,#CSO2_ITEM_NAME_netlauncher,#CSO2_ITEM_DESC_netlauncher,netlauncher,default,item,weapon,shotgun,0,0,50,0,0,0,5,0,0,0,none,none,0,0,,,,0
119,#CSO2_ITEM_NAME_harpoon,#CSO2_ITEM_DESC_harpoon,harpoon,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
120,#CSO2_ITEM_NAME_qbz95,#CSO2_ITEM_DESC_qbz95,qbz95,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
121,#CSO2_ITEM_NAME_m79,#CSO2_ITEM_DESC_m79,m79,default,item,weapon,mach,0,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
122,#CSO2_ITEM_NAME_m32,#CSO2_ITEM_DESC_m32,m32,default,item,weapon,mach,0,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
123,#CSO2_ITEM_NAME_paw20,#CSO2_ITEM_DESC_paw20,paw20,default,item,weapon,mach,0,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
124,#CSO2_ITEM_NAME_chinalake,#CSO2_ITEM_DESC_chinalake,chinalake,default,item,weapon,mach,0,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
125,#CSO2_ITEM_NAME_m95,#CSO2_ITEM_DESC_m95,m95,default,item,weapon,snip,0,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
126,#CSO2_ITEM_NAME_m107a1,#CSO2_ITEM_DESC_m107a1,m107a1,default,item,weapon,snip,0,0,3|26|36|37|44|45|46|48|53|57|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
127,#CSO2_ITEM_NAME_awmgauss,#CSO2_ITEM_DESC_awmgauss,awmgauss,default,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,SS_GRADE_WEAPON_GROUP,100,0,,,"CRITICAL(20,1.3) | EXPUP(100) | WEAPONDROPOFF | ZZ_CHAIN_LIGHTNING | DMG_DISSOLVE",0
128,#CSO2_ITEM_NAME_m16a2,#CSO2_ITEM_DESC_m16a2,m16a2,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
129,#CSO2_ITEM_NAME_k12,#CSO2_ITEM_DESC_k12,k12,default,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
130,#CSO2_ITEM_NAME_usas12,#CSO2_ITEM_DESC_usas12,usas12,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
131,#CSO2_ITEM_NAME_af2011a1,#CSO2_ITEM_DESC_af2011a1,af2011a1,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
132,#CSO2_ITEM_NAME_GILBOASNAKE,#CSO2_ITEM_DESC_GILBOASNAKE,gilboasnake,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
133,#CSO2_ITEM_NAME_DP12,#CSO2_ITEM_DESC_DP12,dp12,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
134,#CSO2_ITEM_NAME_c4,#CSO2_ITEM_DESC_c4,ballantines,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
135,#CSO2_ITEM_NAME_triplebarrel,#CSO2_ITEM_DESC_triplebarrel,triplebarrel,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
136,#CSO2_ITEM_NAME_candlexmas,#CSO2_ITEM_DESC_candlexmas,candlexmas,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
